Date,CNP,F,WMT,GE,TSLA
2014-05-05,20.711308,12.860249,71.14666,23.481693,216.610001
2014-05-06,20.525099,12.713181,70.594643,23.137152,207.279999
2014-05-07,20.745163,12.631476,70.986183,23.437519,201.350006
2014-05-08,20.6182,12.917439,71.650871,23.358013,178.589996
2014-05-09,20.271179,12.884759,72.115257,23.340342,182.259995
2014-05-12,20.084972,12.94195,72.069725,23.720219,184.669998
2014-05-13,20.034185,12.958291,72.06061600000002,23.782059,190.160004
2014-05-14,20.263327,12.868417,71.696404,23.640711,190.619995
2014-05-15,20.135077,12.819396,69.95725999999999,23.499359,188.589996
2014-05-16,20.417221,12.876589,70.121162,23.561199,191.559998
2014-05-19,20.100878,13.007314,69.756935,23.508196,196.089996
2014-05-20,20.212029,12.884759,68.91925,23.234327,195.300003
2014-05-21,20.246229,12.999144,68.89193,23.40218,199.449997
2014-05-22,20.545477,12.999144,68.64608,23.419847,204.880005
2014-05-23,20.408678,13.089022,68.84639,23.419847,207.300003
2014-05-27,20.485626,13.203403,68.82817800000001,23.472857,211.559998
2014-05-28,20.528374,13.325960999999998,68.77356,23.552368,210.240005
2014-05-29,20.571125,13.513882999999998,69.183289,23.623043,210.240005
2014-05-30,20.622425,13.432178,69.902626,23.667213,207.770004
2014-06-02,20.588223,13.432178,69.893524,23.702551,204.699997
2014-06-03,20.536924,13.522053,69.847992,23.667213,204.940002
2014-06-04,20.468523,13.718144,70.230423,23.455183,203.990005
2014-06-05,20.605324,13.628267999999998,70.403442,23.649544,206.899994
2014-06-06,20.562574,13.955085,70.303268,24.011755,208.169998
2014-06-09,20.45998,13.88972,70.121162,24.241447,205.309998
2014-06-10,20.425777,13.897894,69.766037,24.214943,202.300003
2014-06-11,20.357374,13.808014000000002,69.34719799999999,23.98525,204.470001
2014-06-12,20.477077,13.49754,68.95566600000001,23.817396,203.520004
2014-06-13,20.528374,13.530221,68.545914,23.888071,206.419998
2014-06-16,21.058472,13.587416,68.600533,23.69371,224.610001
2014-06-17,20.930222,13.718144,68.281837,23.73789,231.669998
2014-06-18,21.178173,13.750823,68.928352,23.755556,227.119995
2014-06-19,21.349171,13.709971,69.083145,23.987146,227.789993
2014-06-20,21.015724,13.620095,68.91014100000001,24.022772,229.589996
2014-06-23,21.041372,13.791676999999998,69.010284,23.764465,237.220001
2014-06-24,21.169621,13.865209,69.174187,23.67539,232.5
2014-06-25,21.426113,14.05313,68.855515,23.532879,236.889999
2014-06-26,21.51162,14.05313,68.20903,23.41708,235.600006
2014-06-27,21.682613,14.118492000000002,68.600533,23.541782,239.059998
2014-06-30,21.836515,14.085812,68.354713,23.408175,240.059998
2014-07-01,21.699715,14.0613,68.545914,23.515064,239.720001
2014-07-02,21.297869,14.069472,68.855515,23.702114,229.429993
2014-07-03,21.178173,14.151174,68.973869,23.924793,229.25
2014-07-07,21.186724,14.151174,69.265244,23.826813,222.660004
2014-07-08,21.229471,13.979597,69.79336500000001,23.48834,219.070007
2014-07-09,21.28932,14.241049,70.303268,23.443802,223.059998
2014-07-10,21.426113,14.134833,70.166679,23.336918,219.460007
2014-07-11,21.349171,14.273731,69.94815799999999,23.648666,218.130005
2014-07-14,21.13542,14.339095,69.702316,23.746647,226.699997
2014-07-15,21.28932,14.330925,69.96637700000001,23.702114,219.580002
2014-07-16,21.306417,14.543354999999998,69.984581,24.067312,217.160004
2014-07-17,21.212368,14.494332,69.756935,23.702114,215.399994
2014-07-18,21.434668,14.47799,70.193993,23.568504,220.020004
2014-07-21,21.485968,14.461651000000002,69.902626,23.140959,220.539993
2014-07-22,21.477419,14.559695,69.784256,23.176584,219.580002
2014-07-23,21.374819,14.527013,70.102936,23.078608,222.490005
2014-07-24,21.51162,14.576037,69.52018699999999,23.10533,223.539993
2014-07-25,21.263666,14.396285999999998,69.174187,22.971724,223.570007
2014-07-28,21.503065,14.412629,68.937454,22.793573,224.820007
