,2401
Returns,0.05111214398702926
Volatility,0.12870684034001006
Sharpe Ratio,0.3971206491590054
CNP Weight,0.2917644153164443
F Weight,0.13622025711302582
WMT Weight,0.3386107925049336
GE Weight,0.2210259361156698
TSLA Weight,0.012378598949926475
