,CNP,F,WMT,GE,TSLA
CNP,0.03451461857682158,0.01034341600726039,0.007538861694777393,0.010870221888055358,0.013744861127265614
F,0.01034341600726039,0.04863150994539027,0.008760266309142669,0.01937761296254141,0.022902084955992632
WMT,0.007538861694777393,0.008760266309142669,0.03242954051333557,0.007447298940217409,0.010195223604585007
GE,0.010870221888055358,0.01937761296254141,0.007447298940217409,0.03728355727850098,0.017354575846812707
TSLA,0.013744861127265614,0.022902084955992632,0.010195223604585007,0.017354575846812707,0.16192729524349264
