,CNP,F,WMT,GE,TSLA
CNP,0.00013805847430728633,4.1373664029041556e-05,3.015544677910957e-05,4.348088755222143e-05,5.4979444509062456e-05
F,4.1373664029041556e-05,0.0001945260397815611,3.5041065236570674e-05,7.751045185016564e-05,9.160833982397053e-05
WMT,3.015544677910957e-05,3.5041065236570674e-05,0.00012971816205334228,2.9789195760869634e-05,4.078089441834003e-05
GE,4.348088755222143e-05,7.751045185016564e-05,2.9789195760869634e-05,0.00014913422911400393,6.941830338725083e-05
TSLA,5.4979444509062456e-05,9.160833982397053e-05,4.078089441834003e-05,6.941830338725083e-05,0.0006477091809739706
