,32838
Returns,0.1510439769795999
Volatility,0.16186367532076112
Sharpe Ratio,0.933155488285311
CNP Weight,0.29440347906957015
F Weight,0.0010474250541519512
WMT Weight,0.4479406440589406
GE Weight,0.00512301095414915
TSLA Weight,0.2514854408631881
